DATE,RSAHORUSQ156S,chngHOR
7/1/92,64.1,
10/1/92,64.3,
1/1/93,63.9,
4/1/93,64,
7/1/93,64,
10/1/93,64.1,
1/1/94,64,
4/1/94,63.9,
7/1/94,63.9,
10/1/94,64.1,
1/1/95,64.4,
4/1/95,64.7,
7/1/95,64.8,
10/1/95,65.1,
1/1/96,65.3,
4/1/96,65.4,
7/1/96,65.4,
10/1/96,65.4,
1/1/97,65.5,
4/1/97,65.7,
7/1/97,65.8,
10/1/97,65.8,
1/1/98,66,
4/1/98,66.1,
7/1/98,66.6,
10/1/98,66.5,
1/1/99,66.7,
4/1/99,66.7,
7/1/99,66.8,
10/1/99,66.9,
1/1/00,67.1,
4/1/00,67.3,
7/1/00,67.5,
10/1/00,67.5,
1/1/01,67.6,
4/1/01,67.8,
7/1/01,67.9,
10/1/01,67.9,
1/1/02,67.9,
4/1/02,67.8,
7/1/02,67.9,
10/1/02,68.2,
1/1/03,68.1,
4/1/03,68.2,
7/1/03,68.3,
10/1/03,68.5,
1/1/04,68.7,
4/1/04,69.4,
7/1/04,68.9,
10/1/04,69.1,
1/1/05,69.2,
4/1/05,68.7,
7/1/05,68.7,
10/1/05,68.9,
1/1/06,68.6,
4/1/06,68.8,
7/1/06,68.9,
10/1/06,68.8,
1/1/07,68.5,
4/1/07,68.3,
7/1/07,68,
10/1/07,67.8,
1/1/08,67.9,
4/1/08,68.1,
7/1/08,67.7,
10/1/08,67.5,
1/1/09,67.4,
4/1/09,67.4,
7/1/09,67.4,
10/1/09,67.2,
1/1/10,67.2,
4/1/10,66.9,
7/1/10,66.7,
10/1/10,66.5,
1/1/11,66.5,
4/1/11,66,
7/1/11,66.1,
10/1/11,65.9,
1/1/12,65.6,
4/1/12,65.6,
7/1/12,65.4,
10/1/12,65.3,
1/1/13,65.2,
4/1/13,65.1,
7/1/13,65.2,
10/1/13,65.1,
1/1/14,64.9,
4/1/14,64.8,
7/1/14,64.3,
10/1/14,63.9,
1/1/15,63.8,
4/1/15,63.5,
7/1/15,63.6,
10/1/15,63.7,
1/1/16,63.5,
4/1/16,63.1,
7/1/16,63.4,
10/1/16,63.5,
1/1/17,63.6,
4/1/17,63.9,
7/1/17,63.9,
10/1/17,64,
1/1/18,64.2,
4/1/18,64.5,
7/1/18,64.4,
10/1/18,64.6,
1/1/19,64.2,
4/1/19,64.3,
7/1/19,64.7,
10/1/19,64.9,
1/1/20,65.3,
4/1/20,68.1,
7/1/20,67.3,
10/1/20,65.6,
